COUNTY,M-Y,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4
Alameda,Oct-19,30,0,0,5,0,0,7,98,116,46,U
Alameda,Oct-11,30,0,0,0,0,0,0,98,116,46,U
Alameda,Nov-11,21,0,0,0,0,0,0,112,142,48,U
Alameda,Dec-11,37,0,0,0,3,3,0,112,151,62,U
Alameda,Jan-12,21,0,0,0,5,13,3,108,133,30,U
Alameda,Feb-12,24,0,0,0,2,17,6,109,133,33,U
Alameda,Mar-12,18,0,0,0,7,31,6,104,122,25,U
Alameda,Apr-12,33,0,0,0,3,11,7,165,190,31,U
Alameda,May-12,49,0,0,0,5,5,15,68,78,50,15
Alameda,Jun-12,19,0,0,0,3,4,3,179,225,63,U
Alameda,Jul-12,22,0,0,0,10,12,4,174,193,73,U
Alameda,Aug-12,28,0,0,1,8,19,5,173,220,52,U
Alameda,Sep-12,34,0,0,0,15,22,17,95,190,145,11
Alameda,Oct-12,25,0,0,1,7,21,15,126,42,138,9
Alameda,Nov-12,27,0,0,0,12,21,7,104,21,109,8
Alameda,Dec-12,26,0,0,0,6,14,9,82,28,132,7
Alameda,Jan-13,26,0,0,0,8,20,13,99,34,127,11
Alameda,Feb-13,24,0,0,1,10,30,16,82,17,103,7
Alameda,Mar-13,21,0,0,0,14,39,23,88,26,111,5
Alameda,Apr-13,7,0,0,0,19,26,17,70,16,117,11
Alameda,May-13,28,0,0,1,14,33,18,83,20,110,10
Alameda,Jun-13,10,0,0,2,20,45,32,58,15,110,7
Alameda,Jul-13,24,0,0,3,12,35,16,51,6,133,6
Alameda,Aug-13,37,0,0,2,15,34,19,71,9,110,8
Alameda,Sep-13,19,0,0,1,11,41,19,63,3,109,6
Alameda,Oct-13,30,0,0,2,12,36,18,65,5,122,8
Alameda,Nov-13,31,0,0,0,13,24,12,62,9,98,4
Alameda,Dec-13,44,0,0,3,12,35,20,80,16,96,9
Alameda,Jan-14,30,0,0,3,19,32,27,54,12,91,5
Alameda,Feb-14,22,0,0,1,12,32,14,64,12,88,8
Alameda,Mar-14,35,0,0,1,11,39,17,71,25,100,10
Alameda,Apr-14,20,0,0,4,18,47,23,68,12,95,8
Alameda,May-14,22,0,0,3,14,42,23,66,15,93,9
Alameda,Jun-14,30,0,0,2,15,32,20,81,18,85,6
Alameda,Jul-14,27,0,0,1,25,42,19,61,18,102,6
Alameda,Aug-14,25,0,0,2,24,45,24,70,15,82,10
Alameda,Sep-14,27,0,0,3,15,51,25,64,8,84,12
Alameda,Oct-14,28,0,0,2,19,31,24,76,U,80,2
Alameda,Nov-14,18,0,0,1,15,33,19,48,15,59,1
Alameda,Dec-14,31,0,0,2,18,35,21,50,11,56,9
Alameda,Jan-15,19,0,0,2,14,41,23,54,19,88,3
Alameda,Feb-15,22,0,0,3,21,34,20,51,8,73,5
Alameda,Mar-15,18,0,0,3,21,37,23,52,11,90,4
Alameda,Apr-15,29,0,0,1,15,37,17,50,7,72,7
Alameda,May-15,20,0,0,1,24,45,25,50,10,64,4
Alameda,Jun-15,21,0,0,2,15,34,15,46,8,63,4
Alameda,Jul-15,26,0,0,2,17,42,14,68,8,78,8
Alameda,Aug-15,21,0,0,2,14,45,16,52,9,77,8
Alameda,Sep-15,20,0,0,0,15,26,9,9,6,32,4
Alameda,Oct-15,23,0,0,0,17,34,10,14,11,23,8
Alameda,Nov-15,16,0,0,0,17,27,11,6,4,21,5
Alameda,Dec-15,16,0,0,0,17,40,7,14,4,22,6
Alameda,Jan-16,16,0,0,0,19,34,12,12,7,25,5
Alameda,Feb-16,14,0,0,0,12,46,11,17,8,14,6
Alameda,Mar-16,18,0,0,0,20,47,9,12,13,16,4
Alameda,Apr-16,14,0,0,0,24,41,12,12,4,27,8
Alameda,May-16,16,0,0,0,21,48,14,14,13,19,3
Alameda,Jun-16,15,0,0,0,17,49,10,12,6,15,2
Alameda,Jul-16,16,0,0,0,19,41,14,1,3,7,3
Alameda,Aug-16,U,U,U,U,U,U,U,U,U,U,U
Alameda,Sep-16,U,U,U,U,U,U,U,U,U,U,U
Alameda,Oct-16,U,U,U,U,U,U,U,U,U,U,U
Alameda,Nov-16,U,U,U,U,U,U,U,U,U,U,U
Alameda,Dec-16,U,U,U,U,U,U,U,U,U,U,U
Alameda,Jan-17,U,U,U,U,U,U,U,U,U,U,U
Alameda,Feb-17,U,U,U,U,U,U,U,U,U,U,U
Alameda,Mar-17,U,U,U,U,U,U,U,U,U,U,U
Alameda,Apr-17,U,U,U,U,U,U,U,U,U,U,U
